Group	d15N	d13C
A	1.941	-27.222
A	1.55175	-26.957
A	1.44775	-27.614
A	1.71275	-27.32
B	1.234	-27.426
B	1.28275	-27.7
B	1.23075	-27.235
B	1.97575	-27.542
B	1.73075	-27.401
C	1.38375	-29.153
C	1.02175	-28.39
C	0.77775	-29.284
C	0.96475	-29.293
C	0.62275	-28.673
D	1.722	-28.754
D	1.07975	-28.922
D	0.66275	-29.116
D	1.06275	-29.423
D	1.11275	-28.988
E	0.867	-28.452
E	1.137	-27.36
E	0.81475	-27.542
E	1.14575	-28.143
E	0.42875	-28.431
F	1.739	-29.482
F	1.384	-28.37
F	1.273	-28.118
F	1.217	-27.855
F	0.93275	-29.02
